locId,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
Line 292628: 292626,"LB","05","Hâret Hraïk","",33.8500,35.5000,,
Line 292719: 292717,"LB","05","Habalin","",34.1667,35.6833,,
Line 293491: 293489,"LB","05","Anntelias","",33.9108,35.5900,,
Line 294489: 294487,"LB","05","Beychiyé","",33.6333,35.4167,,
Line 294490: 294488,"LB","05","Haret Hreik","",33.8500,35.5000,,
Line 294814: 294812,"LB","05","Bsoûs","",33.8167,35.5833,,
Line 294990: 294988,"LB","05","Fidâr","",34.1000,35.6500,,
Line 294991: 294989,"LB","05","Al Bawshariyah","",33.8833,35.5500,,
Line 295484: 295482,"LB","05","Aaraïya","",33.8333,35.5833,,
Line 296354: 296352,"LB","05","Aïn El Mehnaïde","",33.8500,35.6833,,
Line 297055: 297053,"LB","01","Niha","",33.8933,35.9667,,
Line 297529: 297527,"LB","03","Tarabulus","",34.4333,35.8500,,
Line 297872: 297870,"LB","05","Baskinta","",33.9447,35.7883,,
Line 298010: 298008,"LB","05","Shwit","",33.7167,35.6000,,
Line 298287: 298285,"LB","01","Fakieh","",34.2333,36.4000,,
Line 299090: 299088,"LB","05","Fadar Al Fawqa","",34.1333,35.7000,,
Line 299091: 299089,"LB","03","Baqismaya","",34.2519,35.7650,,
Line 299482: 299480,"LB","05","Beacot","",33.9000,35.5833,,
Line 299515: 299513,"LB","05","Zahlah","",33.8497,35.9042,,
Line 300547: 300545,"LB","05","Jall Bou Haïdar","",33.7167,35.4500,,
Line 301692: 301690,"LB","05","Alley","",33.8067,35.5994,,
Line 301695: 301693,"LB","01","Al Hadath","",34.0019,36.0275,,
Line 301974: 301972,"LB","05","Jall Ed Dîb","",33.9000,35.5833,,
Line 302473: 302471,"LB","03","Barsa","",34.3833,35.8333,,
Line 302586: 302584,"LB","05","Aabeïdât","",34.1667,35.7167,,
Line 302592: 302590,"LB","05","Aïnâb","",33.7667,35.5500,,
Line 302627: 302625,"LB","05","Al Bahra","",34.1333,35.8833,,
Line 303729: 303727,"LB","05","Dlebta","",34.0167,35.6833,,
Line 304729: 304727,"LB","05","Byaqut","",33.9000,35.5833,,
Line 305277: 305275,"LB","05","Ra's Qusta","",34.1167,35.7167,,
Line 306422: 306420,"LB","04","Dawra","",33.9000,35.5333,,
Line 306477: 306475,"LB","03","Ad Dabbaghah","",34.4333,35.8500,,
Line 306607: 306605,"LB","05","Beaachta","",34.1500,35.6333,,
Line 306608: 306606,"LB","05","Hasrat","",34.1667,35.6833,,
Line 306626: 306624,"LB","05","Shhim","",33.6236,35.4836,,
Line 306685: 306683,"LB","05","Jdeïdi","",34.0167,35.6833,,
Line 306793: 306791,"LB","05","Al Akoura","",34.1167,35.9000,,
Line 306794: 306792,"LB","05","Dhour Choueir","",33.9000,35.7167,,
Line 306973: 306971,"LB","03","Bcharré","",34.2514,36.0097,,
Line 308136: 308134,"LB","05","Jaaita","",33.9500,35.6500,,
Line 308746: 308744,"LB","05","Harîssa","",33.9833,35.6500,,
Line 308979: 308977,"LB","05","Dbaïyé","",33.9500,35.5833,,
Line 309014: 309012,"LB","05","Hboûb","",34.1333,35.6667,,
Line 309381: 309379,"LB","02","Sabbah","",33.5667,35.5694,,
Line 309757: 309755,"LB","05","Al Mukaydis","",34.0000,35.7000,,
Line 312548: 312546,"LB","02","Ghaziyé","",33.5178,35.3697,,
Line 314520: 314518,"LB","01","Maallaqa","",33.8431,35.9208,,
Line 314785: 314783,"LB","03","Biâder Rachaaïne","",34.3925,35.9183,,
Line 315158: 315156,"LB","01","Berr Elyas","",33.7756,35.9008,,
Line 315631: 315629,"LB","03","Chekka Aatîqa","",34.3333,35.7333,,
